"","html_form","attachments","flash_content","html_iframe","html_content","urls","external_resources","javascript","css","ips_in_urls","at_in_urls","encoding","is_phishy"
"0","False","0","False","False","True","0","2","0","2","False","False","base64","True"
"1","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"2","False","0","False","False","True","4","0","0","0","False","False","7bit","True"
"3","False","0","False","False","True","2","1","0","1","False","False","none","True"
"4","False","1","False","False","False","0","0","0","0","False","False","none","True"
"5","False","1","False","False","False","0","0","0","0","False","False","none","True"
"6","False","0","False","False","True","15","0","0","1","False","False","other","True"
"7","False","0","False","False","True","0","0","0","0","False","False","base64","True"
"8","False","0","False","False","True","0","0","0","0","False","False","none","True"
"9","False","0","False","False","True","0","0","0","0","False","False","none","True"
"10","False","0","False","False","True","6","0","0","0","False","False","other","True"
"11","False","0","False","False","True","5","0","0","0","False","False","none","True"
"12","False","0","False","False","False","0","0","0","0","False","False","7bit","True"
"13","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"14","False","1","False","False","False","0","0","0","0","False","False","none","True"
"15","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"16","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"17","False","0","False","False","True","12","0","0","1","False","False","other","True"
"18","False","0","False","False","True","0","0","0","0","False","False","7bit","True"
"19","False","1","False","False","True","6","0","0","0","False","False","none","True"
"20","False","0","False","False","False","0","0","0","0","False","False","other","True"
"21","False","0","False","False","True","0","0","0","0","False","False","base64","True"
"22","False","1","False","False","False","0","0","0","0","False","False","none","True"
"23","False","1","False","False","False","0","0","0","0","False","False","none","True"
"24","False","0","False","False","False","5","0","0","0","False","False","8bit","True"
"25","False","0","False","False","True","13","1","0","1","False","False","other","True"
"26","False","0","False","False","False","6","0","0","0","False","False","none","True"
"27","False","0","False","False","True","0","0","0","0","False","False","none","True"
"28","False","0","False","False","True","0","0","0","0","False","False","none","True"
"29","False","1","False","False","False","0","0","0","0","False","False","none","True"
"30","False","0","False","False","True","0","0","0","0","False","False","base64","True"
"31","False","0","False","False","True","16","0","0","0","False","False","none","True"
"32","False","0","False","False","True","7","0","0","0","False","False","7bit","True"
"33","False","0","False","False","True","7","0","0","0","False","False","7bit","True"
"34","False","0","False","False","True","7","0","0","0","False","False","7bit","True"
"35","False","0","False","False","False","5","0","0","0","False","False","8bit","True"
"36","False","0","False","False","False","6","0","0","0","False","False","8bit","True"
"37","False","0","False","False","True","7","0","0","0","False","False","7bit","True"
"38","False","0","False","False","True","0","1","0","1","False","False","none","True"
"39","False","0","False","False","False","0","0","0","0","False","False","7bit","True"
"40","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"41","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"42","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"43","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"44","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"45","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"46","False","0","False","False","False","5","0","0","0","False","False","8bit","True"
"47","False","0","False","False","False","6","0","0","0","False","False","8bit","True"
"48","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"49","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"50","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"51","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"52","False","0","False","False","True","6","0","1","0","False","False","7bit","True"
"53","False","0","False","False","True","8","0","0","0","False","False","none","True"
"54","False","1","False","False","False","0","0","0","0","False","False","none","True"
"55","False","0","False","False","True","0","0","0","0","False","False","none","True"
"56","False","0","False","False","True","1","0","0","0","False","False","7bit","True"
"57","False","0","False","False","False","5","0","0","0","False","False","8bit","True"
"58","False","0","False","False","True","9","0","0","0","False","False","7bit","True"
"59","False","0","False","False","True","9","0","0","0","False","False","7bit","True"
"60","False","0","False","False","True","9","0","0","0","False","False","7bit","True"
"61","False","0","False","False","True","8","0","0","0","False","False","7bit","True"
"62","False","0","False","False","True","2","0","0","0","False","False","none","True"
"63","False","0","False","False","True","1","0","0","0","False","False","none","True"
"64","False","0","False","False","True","1","0","0","0","False","False","none","True"
"65","False","0","False","False","True","0","2","0","2","False","False","base64","True"
"66","False","0","False","False","True","5","0","0","0","False","False","none","True"
"67","False","1","False","False","True","1","0","0","0","False","False","none","True"
"68","False","0","False","False","False","5","0","0","0","False","False","8bit","True"
"69","False","0","False","False","True","0","0","0","0","False","False","base64","True"
"70","False","1","False","False","False","0","0","0","0","False","False","none","True"
"71","False","0","False","False","True","3","0","0","0","False","False","other","True"
"72","False","0","False","False","True","6","0","0","0","False","False","8bit","True"
"73","False","0","False","False","True","7","0","0","0","False","False","7bit","True"
"74","False","0","False","False","True","7","0","0","0","False","False","7bit","True"
"75","False","0","False","False","True","7","0","0","0","False","False","7bit","True"
"76","False","0","False","False","True","7","0","0","0","False","False","7bit","True"
"77","False","0","False","False","True","0","0","0","0","False","False","none","True"
"78","False","0","False","False","False","0","0","0","0","False","False","none","True"
"79","False","0","False","False","False","0","0","0","0","False","False","none","True"
"80","False","0","False","False","True","2","0","0","0","False","False","7bit","True"
"81","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"82","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"83","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"84","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"85","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"86","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"87","False","0","False","False","True","6","0","0","0","False","False","other","True"
"88","False","0","False","False","True","3","0","0","0","False","False","none","True"
"89","False","0","False","False","True","5","0","1","0","False","False","7bit","True"
"90","False","0","False","False","False","0","0","0","0","False","False","7bit","True"
"91","False","0","False","False","True","8","0","0","0","False","False","7bit","True"
"92","False","0","False","False","True","6","0","1","0","False","False","7bit","True"
"93","False","0","False","False","True","6","0","1","0","False","False","7bit","True"
"94","False","0","False","False","True","6","0","1","0","False","False","7bit","True"
"95","False","1","False","False","False","0","0","0","0","False","False","none","True"
"96","False","1","False","False","False","0","0","0","0","False","False","none","True"
